group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0063,0.2419,-0.0017,0.0143,False
deepseek-r1:14b,deepseek-r1:70b,-0.0006,1.0,-0.0086,0.0074,False
deepseek-r1:14b,deepseek-r1:7b,0.0117,0.0003,0.0037,0.0197,True
deepseek-r1:14b,deepseek-r1:8b,0.0055,0.4176,-0.0025,0.0135,False
deepseek-r1:14b,llama3.1:70b,0.0043,0.7211,-0.0037,0.0123,False
deepseek-r1:14b,llama3.1:8b,0.0178,0.0,0.0098,0.0258,True
deepseek-r1:14b,llama3.3:70b,-0.0064,0.228,-0.0144,0.0016,False
deepseek-r1:32b,deepseek-r1:70b,-0.007,0.1412,-0.015,0.001,False
deepseek-r1:32b,deepseek-r1:7b,0.0053,0.4662,-0.0027,0.0133,False
deepseek-r1:32b,deepseek-r1:8b,-0.0008,1.0,-0.0088,0.0072,False
deepseek-r1:32b,llama3.1:70b,-0.002,0.9953,-0.01,0.006,False
deepseek-r1:32b,llama3.1:8b,0.0114,0.0004,0.0034,0.0194,True
deepseek-r1:32b,llama3.3:70b,-0.0127,0.0,-0.0207,-0.0047,True
deepseek-r1:70b,deepseek-r1:7b,0.0123,0.0001,0.0043,0.0203,True
deepseek-r1:70b,deepseek-r1:8b,0.0062,0.2723,-0.0018,0.0142,False
deepseek-r1:70b,llama3.1:70b,0.005,0.5572,-0.003,0.013,False
deepseek-r1:70b,llama3.1:8b,0.0184,0.0,0.0104,0.0264,True
deepseek-r1:70b,llama3.3:70b,-0.0058,0.3613,-0.0138,0.0022,False
deepseek-r1:7b,deepseek-r1:8b,-0.0061,0.2794,-0.0141,0.0019,False
deepseek-r1:7b,llama3.1:70b,-0.0073,0.1017,-0.0153,0.0007,False
deepseek-r1:7b,llama3.1:8b,0.0061,0.2853,-0.0019,0.0141,False
deepseek-r1:7b,llama3.3:70b,-0.0181,0.0,-0.0261,-0.0101,True
deepseek-r1:8b,llama3.1:70b,-0.0012,0.9998,-0.0092,0.0068,False
deepseek-r1:8b,llama3.1:8b,0.0122,0.0001,0.0042,0.0202,True
deepseek-r1:8b,llama3.3:70b,-0.0119,0.0002,-0.0199,-0.0039,True
llama3.1:70b,llama3.1:8b,0.0134,0.0,0.0054,0.0214,True
llama3.1:70b,llama3.3:70b,-0.0108,0.0012,-0.0188,-0.0027,True
llama3.1:8b,llama3.3:70b,-0.0242,0.0,-0.0322,-0.0162,True
