model_name,prompt_idx,total_runs
deepseek-r1,0,1.0
deepseek-r1,1,1.6666666666666667
deepseek-r1,2,1.3333333333333333
deepseek-r1,3,1.0
deepseek-r1,4,1.3333333333333333
deepseek-r1,5,1.3333333333333333
deepseek-r1,6,3.3333333333333335
deepseek-r1,7,1.0
deepseek-r1,8,1.0
deepseek-r1,9,1.0
deepseek-r1,10,1.3333333333333333
deepseek-r1,11,1.3333333333333333
deepseek-r1:14b,0,1.8333333333333333
deepseek-r1:14b,1,1.6666666666666667
deepseek-r1:14b,2,1.5
deepseek-r1:14b,3,1.8333333333333333
deepseek-r1:14b,4,1.8333333333333333
deepseek-r1:14b,5,1.8333333333333333
deepseek-r1:14b,6,1.5
deepseek-r1:14b,7,1.5
deepseek-r1:14b,8,1.6666666666666667
deepseek-r1:14b,9,1.6666666666666667
deepseek-r1:14b,10,2.8333333333333335
deepseek-r1:14b,11,2.1666666666666665
deepseek-r1:32b,0,1.1666666666666667
deepseek-r1:32b,1,1.0
deepseek-r1:32b,2,1.0
deepseek-r1:32b,3,1.5
deepseek-r1:32b,4,1.3333333333333333
deepseek-r1:32b,5,1.0
deepseek-r1:32b,6,1.1666666666666667
deepseek-r1:32b,7,1.0
deepseek-r1:32b,8,1.5
deepseek-r1:32b,9,1.6666666666666667
deepseek-r1:32b,10,1.5555555555555556
deepseek-r1:32b,11,1.1666666666666667
deepseek-r1:70b,0,1.5
deepseek-r1:70b,1,2.0
deepseek-r1:70b,2,1.4444444444444444
deepseek-r1:70b,3,1.1111111111111112
deepseek-r1:70b,4,1.1111111111111112
deepseek-r1:70b,5,1.3333333333333333
deepseek-r1:70b,6,1.0
deepseek-r1:70b,7,1.3333333333333333
deepseek-r1:70b,8,1.3333333333333333
deepseek-r1:70b,9,1.5
deepseek-r1:70b,10,1.1111111111111112
deepseek-r1:70b,11,1.2222222222222223
deepseek-r1:8b,0,1.6666666666666667
deepseek-r1:8b,1,1.0
deepseek-r1:8b,2,1.3333333333333333
deepseek-r1:8b,3,1.3333333333333333
deepseek-r1:8b,4,1.6666666666666667
deepseek-r1:8b,5,2.3333333333333335
deepseek-r1:8b,6,1.6666666666666667
deepseek-r1:8b,7,1.6666666666666667
deepseek-r1:8b,8,2.0
deepseek-r1:8b,9,1.6666666666666667
deepseek-r1:8b,10,2.3333333333333335
deepseek-r1:8b,11,1.0
llama3.1,0,1.0
llama3.1,1,1.3333333333333333
llama3.1,2,1.0
llama3.1,3,1.0
llama3.1,4,1.0
llama3.1,5,2.0
llama3.1,6,1.0
llama3.1,7,1.0
llama3.1,8,1.0
llama3.1,9,1.5
llama3.1,10,1.0
llama3.1,11,1.0
llama3.1:70b,0,1.0
llama3.1:70b,1,1.1666666666666667
llama3.1:70b,2,1.0
llama3.1:70b,3,1.0
llama3.1:70b,4,1.0
llama3.1:70b,5,1.1666666666666667
llama3.1:70b,6,1.0
llama3.1:70b,7,1.0
llama3.1:70b,8,1.0
llama3.1:70b,9,1.0
llama3.1:70b,10,1.8333333333333333
llama3.1:70b,11,1.1666666666666667
llama3.3,0,1.1666666666666667
llama3.3,1,1.1666666666666667
llama3.3,2,1.1666666666666667
llama3.3,3,1.1666666666666667
llama3.3,4,1.1666666666666667
llama3.3,5,1.1666666666666667
llama3.3,6,1.1666666666666667
llama3.3,7,1.1666666666666667
llama3.3,8,1.1666666666666667
llama3.3,9,1.1666666666666667
llama3.3,10,1.1666666666666667
llama3.3,11,1.3333333333333333
