group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.3055,0.9986,-1.2438,1.8547,False
deepseek-r1:14b,deepseek-r1:70b,-0.274,0.9993,-1.8232,1.2753,False
deepseek-r1:14b,deepseek-r1:7b,0.2332,0.9998,-1.3161,1.7824,False
deepseek-r1:14b,deepseek-r1:8b,-0.5106,0.9697,-2.0599,1.0387,False
deepseek-r1:14b,llama3.1:70b,-0.9172,0.5961,-2.4665,0.632,False
deepseek-r1:14b,llama3.1:8b,-1.7042,0.0207,-3.2535,-0.155,True
deepseek-r1:14b,llama3.3:70b,-1.6969,0.0217,-3.2462,-0.1477,True
deepseek-r1:32b,deepseek-r1:70b,-0.5795,0.9406,-2.1287,0.9698,False
deepseek-r1:32b,deepseek-r1:7b,-0.0723,1.0,-1.6216,1.4769,False
deepseek-r1:32b,deepseek-r1:8b,-0.8161,0.7275,-2.3653,0.7332,False
deepseek-r1:32b,llama3.1:70b,-1.2227,0.2308,-2.772,0.3265,False
deepseek-r1:32b,llama3.1:8b,-2.0097,0.0029,-3.559,-0.4605,True
deepseek-r1:32b,llama3.3:70b,-2.0024,0.003,-3.5517,-0.4531,True
deepseek-r1:70b,deepseek-r1:7b,0.5071,0.9708,-1.0421,2.0564,False
deepseek-r1:70b,deepseek-r1:8b,-0.2366,0.9997,-1.7859,1.3126,False
deepseek-r1:70b,llama3.1:70b,-0.6433,0.9005,-2.1925,0.906,False
deepseek-r1:70b,llama3.1:8b,-1.4303,0.0922,-2.9795,0.119,False
deepseek-r1:70b,llama3.3:70b,-1.4229,0.0956,-2.9722,0.1263,False
deepseek-r1:7b,deepseek-r1:8b,-0.7438,0.8104,-2.293,0.8055,False
deepseek-r1:7b,llama3.1:70b,-1.1504,0.3024,-2.6997,0.3988,False
deepseek-r1:7b,llama3.1:8b,-1.9374,0.0047,-3.4867,-0.3881,True
deepseek-r1:7b,llama3.3:70b,-1.9301,0.005,-3.4793,-0.3808,True
deepseek-r1:8b,llama3.1:70b,-0.4066,0.9918,-1.9559,1.1426,False
deepseek-r1:8b,llama3.1:8b,-1.1936,0.2581,-2.7429,0.3556,False
deepseek-r1:8b,llama3.3:70b,-1.1863,0.2653,-2.7356,0.3629,False
llama3.1:70b,llama3.1:8b,-0.787,0.7624,-2.3362,0.7623,False
llama3.1:70b,llama3.3:70b,-0.7797,0.7708,-2.3289,0.7696,False
llama3.1:8b,llama3.3:70b,0.0073,1.0,-1.5419,1.5566,False
