group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0044,0.9729,-0.0088,0.0175,False
deepseek-r1:14b,deepseek-r1:70b,-0.0122,0.0888,-0.0254,0.0009,False
deepseek-r1:14b,deepseek-r1:7b,-0.008,0.5813,-0.0212,0.0051,False
deepseek-r1:14b,deepseek-r1:8b,-0.0112,0.1638,-0.0243,0.002,False
deepseek-r1:14b,llama3.1:70b,-0.0136,0.0373,-0.0267,-0.0004,True
deepseek-r1:14b,llama3.1:8b,-0.0062,0.844,-0.0193,0.0069,False
deepseek-r1:14b,llama3.3:70b,-0.0169,0.0025,-0.03,-0.0038,True
deepseek-r1:32b,deepseek-r1:70b,-0.0166,0.0032,-0.0298,-0.0035,True
deepseek-r1:32b,deepseek-r1:7b,-0.0124,0.0797,-0.0256,0.0007,False
deepseek-r1:32b,deepseek-r1:8b,-0.0155,0.0081,-0.0287,-0.0024,True
deepseek-r1:32b,llama3.1:70b,-0.0179,0.0009,-0.0311,-0.0048,True
deepseek-r1:32b,llama3.1:8b,-0.0106,0.2224,-0.0237,0.0026,False
deepseek-r1:32b,llama3.3:70b,-0.0213,0.0,-0.0344,-0.0081,True
deepseek-r1:70b,deepseek-r1:7b,0.0042,0.9785,-0.0089,0.0173,False
deepseek-r1:70b,deepseek-r1:8b,0.0011,1.0,-0.0121,0.0142,False
deepseek-r1:70b,llama3.1:70b,-0.0013,1.0,-0.0145,0.0118,False
deepseek-r1:70b,llama3.1:8b,0.0061,0.8583,-0.0071,0.0192,False
deepseek-r1:70b,llama3.3:70b,-0.0046,0.9623,-0.0178,0.0085,False
deepseek-r1:7b,deepseek-r1:8b,-0.0031,0.9963,-0.0163,0.01,False
deepseek-r1:7b,llama3.1:70b,-0.0055,0.9081,-0.0187,0.0076,False
deepseek-r1:7b,llama3.1:8b,0.0019,0.9999,-0.0113,0.015,False
deepseek-r1:7b,llama3.3:70b,-0.0089,0.4522,-0.022,0.0043,False
deepseek-r1:8b,llama3.1:70b,-0.0024,0.9994,-0.0155,0.0107,False
deepseek-r1:8b,llama3.1:8b,0.005,0.9453,-0.0082,0.0181,False
deepseek-r1:8b,llama3.3:70b,-0.0057,0.8912,-0.0189,0.0074,False
llama3.1:70b,llama3.1:8b,0.0074,0.6856,-0.0058,0.0205,False
llama3.1:70b,llama3.3:70b,-0.0033,0.9946,-0.0165,0.0098,False
llama3.1:8b,llama3.3:70b,-0.0107,0.2081,-0.0238,0.0024,False
