group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0004,1.0,-0.1296,0.1303,False
deepseek-r1:14b,deepseek-r1:70b,-0.1176,0.106,-0.2475,0.0124,False
deepseek-r1:14b,deepseek-r1:7b,-0.0843,0.4792,-0.2142,0.0457,False
deepseek-r1:14b,deepseek-r1:8b,-0.1077,0.1801,-0.2376,0.0223,False
deepseek-r1:14b,llama3.1:70b,-0.1221,0.0813,-0.2521,0.0078,False
deepseek-r1:14b,llama3.1:8b,-0.0583,0.8585,-0.1882,0.0717,False
deepseek-r1:14b,llama3.3:70b,-0.1476,0.0148,-0.2776,-0.0177,True
deepseek-r1:32b,deepseek-r1:70b,-0.1179,0.1038,-0.2479,0.012,False
deepseek-r1:32b,deepseek-r1:7b,-0.0846,0.4734,-0.2146,0.0453,False
deepseek-r1:32b,deepseek-r1:8b,-0.108,0.1768,-0.238,0.0219,False
deepseek-r1:32b,llama3.1:70b,-0.1225,0.0796,-0.2524,0.0075,False
deepseek-r1:32b,llama3.1:8b,-0.0586,0.8545,-0.1886,0.0713,False
deepseek-r1:32b,llama3.3:70b,-0.148,0.0144,-0.278,-0.0181,True
deepseek-r1:70b,deepseek-r1:7b,0.0333,0.9929,-0.0967,0.1633,False
deepseek-r1:70b,deepseek-r1:8b,0.0099,1.0,-0.1201,0.1398,False
deepseek-r1:70b,llama3.1:70b,-0.0046,1.0,-0.1345,0.1254,False
deepseek-r1:70b,llama3.1:8b,0.0593,0.8472,-0.0707,0.1893,False
deepseek-r1:70b,llama3.3:70b,-0.0301,0.9962,-0.16,0.0999,False
deepseek-r1:7b,deepseek-r1:8b,-0.0234,0.9992,-0.1534,0.1065,False
deepseek-r1:7b,llama3.1:70b,-0.0379,0.9849,-0.1678,0.0921,False
deepseek-r1:7b,llama3.1:8b,0.026,0.9985,-0.104,0.156,False
deepseek-r1:7b,llama3.3:70b,-0.0634,0.7977,-0.1933,0.0666,False
deepseek-r1:8b,llama3.1:70b,-0.0144,1.0,-0.1444,0.1155,False
deepseek-r1:8b,llama3.1:8b,0.0494,0.9354,-0.0806,0.1794,False
deepseek-r1:8b,llama3.3:70b,-0.04,0.9794,-0.1699,0.09,False
llama3.1:70b,llama3.1:8b,0.0638,0.7917,-0.0661,0.1938,False
llama3.1:70b,llama3.3:70b,-0.0255,0.9987,-0.1555,0.1044,False
llama3.1:8b,llama3.3:70b,-0.0894,0.4009,-0.2193,0.0406,False
